"ID";"Titre";"Entité";"Catégorie";"Statut";"Dernière modification";"Date d'ouverture";"Priorité";"Demandeur - Demandeur";"TTR";
"18 753";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:43";"30-12-2024 11:43";"Moyenne";"centre-appel@ladom.fr";"";
"18 752";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:42";"30-12-2024 11:42";"Moyenne";"centre-appel@ladom.fr";"";
"18 751";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:38";"30-12-2024 11:38";"Moyenne";"centre-appel@ladom.fr";"";
"18 750";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 11:33";"30-12-2024 11:33";"Moyenne";"centre-appel@ladom.fr";"";
"18 749";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:32";"30-12-2024 11:32";"Moyenne";"centre-appel@ladom.fr";"";
"18 748";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:31";"30-12-2024 11:31";"Moyenne";"centre-appel@ladom.fr";"";
"18 747";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:28";"30-12-2024 11:28";"Moyenne";"centre-appel@ladom.fr";"";
"18 746";"[Saint-Denis] - Passeport Mobilité Etudes (PME)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 11:28";"30-12-2024 11:28";"Moyenne";"centre-appel@ladom.fr";"";
"18 745";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:22";"30-12-2024 11:22";"Moyenne";"centre-appel@ladom.fr";"";
"18 744";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:14";"30-12-2024 11:14";"Moyenne";"centre-appel@ladom.fr";"";
"18 743";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:12";"30-12-2024 11:12";"Moyenne";"centre-appel@ladom.fr";"";
"18 742";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:11";"30-12-2024 11:11";"Moyenne";"centre-appel@ladom.fr";"";
"18 741";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 11:10";"30-12-2024 11:10";"Moyenne";"centre-appel@ladom.fr";"";
"18 740";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 11:10";"30-12-2024 11:10";"Moyenne";"centre-appel@ladom.fr";"";
"18 739";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 11:07";"30-12-2024 11:07";"Moyenne";"centre-appel@ladom.fr";"";
"18 738";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 11:05";"30-12-2024 11:05";"Moyenne";"centre-appel@ladom.fr";"";
"18 737";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:04";"30-12-2024 11:04";"Moyenne";"centre-appel@ladom.fr";"";
"18 736";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:59";"30-12-2024 10:59";"Moyenne";"centre-appel@ladom.fr";"";
"18 735";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 10:58";"30-12-2024 10:58";"Moyenne";"centre-appel@ladom.fr";"";
"18 734";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:58";"30-12-2024 10:58";"Moyenne";"centre-appel@ladom.fr";"";
"18 733";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:53";"30-12-2024 10:53";"Moyenne";"centre-appel@ladom.fr";"";
"18 732";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:52";"30-12-2024 10:52";"Moyenne";"centre-appel@ladom.fr";"";
"18 731";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 10:44";"30-12-2024 10:44";"Moyenne";"centre-appel@ladom.fr";"";
"18 730";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:43";"30-12-2024 10:43";"Moyenne";"centre-appel@ladom.fr";"";
"18 729";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Autres";"Clos";"30-12-2024 10:41";"30-12-2024 10:41";"Moyenne";"centre-appel@ladom.fr";"";
"18 728";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:39";"30-12-2024 10:39";"Moyenne";"centre-appel@ladom.fr";"";
"18 727";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 10:39";"30-12-2024 10:39";"Moyenne";"centre-appel@ladom.fr";"";
"18 726";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:37";"30-12-2024 10:37";"Moyenne";"centre-appel@ladom.fr";"";
"18 725";"[Saint-Pierre] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:34";"30-12-2024 10:34";"Moyenne";"centre-appel@ladom.fr";"";
"18 724";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:33";"30-12-2024 10:33";"Moyenne";"centre-appel@ladom.fr";"";
"18 723";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:31";"30-12-2024 10:31";"Moyenne";"centre-appel@ladom.fr";"";
"18 722";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:30";"30-12-2024 10:30";"Moyenne";"centre-appel@ladom.fr";"";
"18 721";"[Saint-Denis] - Passeport Mobilité Etudes (PME)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:26";"30-12-2024 10:26";"Moyenne";"centre-appel@ladom.fr";"";
"18 720";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:26";"30-12-2024 10:26";"Moyenne";"centre-appel@ladom.fr";"";
"18 719";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:21";"30-12-2024 10:21";"Moyenne";"centre-appel@ladom.fr";"";
"18 718";"[Saint-Pierre] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 10:19";"30-12-2024 10:19";"Moyenne";"centre-appel@ladom.fr";"";
"18 717";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:13";"30-12-2024 10:13";"Moyenne";"centre-appel@ladom.fr";"";
"18 716";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:13";"30-12-2024 10:13";"Moyenne";"centre-appel@ladom.fr";"";
"18 715";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:10";"30-12-2024 10:10";"Moyenne";"centre-appel@ladom.fr";"";
"18 714";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:04";"30-12-2024 10:04";"Moyenne";"centre-appel@ladom.fr";"";
"18 713";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:03";"30-12-2024 10:03";"Moyenne";"centre-appel@ladom.fr";"";
"18 712";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 10:02";"30-12-2024 10:02";"Moyenne";"centre-appel@ladom.fr";"";
"18 711";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 09:02";"30-12-2024 09:02";"Moyenne";"centre-appel@ladom.fr";"";
"18 710";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:56";"30-12-2024 08:56";"Moyenne";"centre-appel@ladom.fr";"";
"18 709";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:53";"30-12-2024 08:53";"Moyenne";"centre-appel@ladom.fr";"";
"18 708";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:53";"30-12-2024 08:53";"Moyenne";"centre-appel@ladom.fr";"";
"18 707";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 08:52";"30-12-2024 08:52";"Moyenne";"centre-appel@ladom.fr";"";
"18 706";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 08:50";"30-12-2024 08:50";"Moyenne";"centre-appel@ladom.fr";"";
"18 705";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:49";"30-12-2024 08:49";"Moyenne";"centre-appel@ladom.fr";"";
"18 704";"[Saint-Pierre] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 08:48";"30-12-2024 08:48";"Moyenne";"centre-appel@ladom.fr";"";
"18 703";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 08:46";"30-12-2024 08:46";"Moyenne";"centre-appel@ladom.fr";"";
"18 702";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:45";"30-12-2024 08:45";"Moyenne";"centre-appel@ladom.fr";"";
"18 701";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 08:42";"30-12-2024 08:42";"Moyenne";"centre-appel@ladom.fr";"";
"18 700";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:40";"30-12-2024 08:40";"Moyenne";"centre-appel@ladom.fr";"";
"18 699";"[Saint-Denis] - Passeport Mobilité Etudes (PME)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:40";"30-12-2024 08:40";"Moyenne";"centre-appel@ladom.fr";"";
"18 698";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 08:38";"30-12-2024 08:38";"Moyenne";"centre-appel@ladom.fr";"";
"18 697";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 08:35";"30-12-2024 08:35";"Moyenne";"centre-appel@ladom.fr";"";
"18 696";"[Saint-Pierre] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:35";"30-12-2024 08:35";"Moyenne";"centre-appel@ladom.fr";"";
"18 695";"[Saint-Pierre] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:30";"30-12-2024 08:30";"Moyenne";"centre-appel@ladom.fr";"";
"18 694";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:29";"30-12-2024 08:29";"Moyenne";"centre-appel@ladom.fr";"";
"18 693";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 08:27";"30-12-2024 08:27";"Moyenne";"centre-appel@ladom.fr";"";
"18 692";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:27";"30-12-2024 08:27";"Moyenne";"centre-appel@ladom.fr";"";
"18 691";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:25";"30-12-2024 08:25";"Moyenne";"centre-appel@ladom.fr";"";
"18 690";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 08:25";"30-12-2024 08:25";"Moyenne";"centre-appel@ladom.fr";"";
"18 689";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:23";"30-12-2024 08:23";"Moyenne";"centre-appel@ladom.fr";"";
"18 688";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 08:22";"30-12-2024 08:22";"Moyenne";"centre-appel@ladom.fr";"";
"18 687";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:21";"30-12-2024 08:21";"Moyenne";"centre-appel@ladom.fr";"";
"18 686";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 08:20";"30-12-2024 08:20";"Moyenne";"centre-appel@ladom.fr";"";
"18 685";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:19";"30-12-2024 08:19";"Moyenne";"centre-appel@ladom.fr";"";
"18 684";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:17";"30-12-2024 08:17";"Moyenne";"centre-appel@ladom.fr";"";
"18 683";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 08:14";"30-12-2024 08:14";"Moyenne";"centre-appel@ladom.fr";"";
"18 682";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:12";"30-12-2024 08:12";"Moyenne";"centre-appel@ladom.fr";"";
"18 681";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:11";"30-12-2024 08:11";"Moyenne";"centre-appel@ladom.fr";"";
"18 680";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT), Prise de Poste (PDP)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:09";"30-12-2024 08:09";"Moyenne";"centre-appel@ladom.fr";"";
"18 679";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:09";"30-12-2024 08:09";"Moyenne";"centre-appel@ladom.fr";"";
"18 678";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 08:07";"30-12-2024 08:07";"Moyenne";"centre-appel@ladom.fr";"";
"18 677";"[Saint-Pierre] - Passeport Mobilité Formation Professionnelle (PMFP)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:05";"30-12-2024 08:05";"Moyenne";"centre-appel@ladom.fr";"";
"18 676";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:05";"30-12-2024 08:05";"Moyenne";"centre-appel@ladom.fr";"";
"18 675";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:04";"30-12-2024 08:04";"Moyenne";"centre-appel@ladom.fr";"";
"18 674";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 08:01";"30-12-2024 08:01";"Moyenne";"centre-appel@ladom.fr";"";
"18 673";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 07:59";"30-12-2024 07:59";"Moyenne";"centre-appel@ladom.fr";"";
"18 672";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 07:59";"30-12-2024 07:59";"Moyenne";"centre-appel@ladom.fr";"";
"18 671";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 07:52";"30-12-2024 07:52";"Moyenne";"centre-appel@ladom.fr";"";
"18 670";"[Saint-Denis] - Passeport Mobilité Formation Professionnelle (PMFP)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 07:52";"30-12-2024 07:52";"Moyenne";"centre-appel@ladom.fr";"";
"18 669";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 07:51";"30-12-2024 07:51";"Moyenne";"centre-appel@ladom.fr";"";
"18 668";"[Saint-Denis] - Passeport Mobilité Etudes (PME)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 07:50";"30-12-2024 07:50";"Moyenne";"centre-appel@ladom.fr";"";
"18 667";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 07:49";"30-12-2024 07:49";"Moyenne";"centre-appel@ladom.fr";"";
"18 666";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 07:48";"30-12-2024 07:48";"Moyenne";"centre-appel@ladom.fr";"";
"18 665";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 07:48";"30-12-2024 07:48";"Moyenne";"centre-appel@ladom.fr";"";
"18 664";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 07:46";"30-12-2024 07:46";"Moyenne";"centre-appel@ladom.fr";"";
"18 663";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 07:45";"30-12-2024 07:45";"Moyenne";"centre-appel@ladom.fr";"";
"18 662";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 07:45";"30-12-2024 07:45";"Moyenne";"centre-appel@ladom.fr";"";
"18 661";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 07:38";"30-12-2024 07:38";"Moyenne";"centre-appel@ladom.fr";"";
"18 660";"[Saint-Pierre] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 07:37";"30-12-2024 07:37";"Moyenne";"centre-appel@ladom.fr";"";
"18 659";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 07:34";"30-12-2024 07:34";"Moyenne";"centre-appel@ladom.fr";"";
"18 658";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 07:33";"30-12-2024 07:33";"Moyenne";"centre-appel@ladom.fr";"";
"18 657";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 07:32";"30-12-2024 07:32";"Moyenne";"centre-appel@ladom.fr";"";
"18 656";"[Saint-Pierre] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 07:29";"30-12-2024 07:29";"Moyenne";"centre-appel@ladom.fr";"";
"18 655";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 07:29";"30-12-2024 07:29";"Moyenne";"centre-appel@ladom.fr";"";
"18 654";"[Saint-Pierre] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 07:28";"30-12-2024 07:28";"Moyenne";"centre-appel@ladom.fr";"";
"18 653";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 07:25";"30-12-2024 07:25";"Moyenne";"centre-appel@ladom.fr";"";
"18 652";"[Saint-Denis] - Aide au voyage ''Talents'' (ACT-T)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 07:25";"30-12-2024 07:25";"Moyenne";"centre-appel@ladom.fr";"";
